USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.9  0.0  25300 15288 ?        Ss   10:43   0:01 /sbin/init splash threadirqs
root         328  0.0  0.0      0     0 ?        S    10:43   0:00 [card0-crtc0]
root         329  0.0  0.0      0     0 ?        S    10:43   0:00 [card0-crtc1]
root         330  0.0  0.0      0     0 ?        S    10:43   0:00 [card0-crtc2]
root         331  0.0  0.0      0     0 ?        S    10:43   0:00 [card0-crtc3]
root         332  0.0  0.0      0     0 ?        S    10:43   0:00 [card0-crtc4]
root         333  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-gfx]
root         334  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-comp_1.0.0]
root         335  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-comp_1.0.1]
root         336  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-comp_1.0.2]
root         337  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-comp_1.0.3]
root         338  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-comp_1.0.4]
root         339  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-comp_1.0.5]
root         340  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-comp_1.0.6]
root         341  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-comp_1.0.7]
root         342  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-sdma0]
root         343  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-sdma1]
root         344  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-uvd]
root         345  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-uvd_enc0]
root         346  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-uvd_enc1]
root         347  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-vce0]
root         348  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-vce1]
root         349  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-vce2]
root         358  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/u20:1-ttm]
root         391  0.0  0.0      0     0 ?        S    10:43   0:00 [jbd2/nvme0n1p6-8]
root         392  0.0  0.0      0     0 ?        I<   10:43   0:00 [kworker/R-ext4-rsv-conversion]
root         457  0.2  0.1  51388 22976 ?        Ss   10:43   0:00 /usr/lib/systemd/systemd-journald
root         472  0.0  0.0      0     0 ?        I    10:43   0:00 [kworker/u17:4-events_unbound]
systemd+     473  0.0  0.0  90348  7924 ?        Ssl  10:43   0:00 /usr/lib/systemd/systemd-timesyncd
root         475  0.0  0.0  16108  6512 ?        Ss   10:43   0:00 /usr/lib/systemd/systemd-userdbd
